Date,Close,PE,investPE,InvestOpen
2000-01-03,1592.2,25.91,200000,200000.0
2000-01-04,1638.7,26.67,200000,
2000-01-05,1595.8,25.97,200000,
2000-01-06,1617.6,26.32,200000,
2000-01-07,1613.3,26.25,200000,
2000-01-10,1632.95,26.57,200000,
2000-01-11,1572.5,25.59,200000,
2000-01-12,1624.8,26.44,200000,
2000-01-13,1621.4,26.38,200000,
2000-01-14,1622.75,26.41,200000,
2000-01-17,1611.6,26.22,200000,
2000-01-18,1606.7,26.15,200000,
2000-01-19,1634.85,26.6,200000,
2000-01-20,1601.1,26.05,200000,
2000-01-21,1620.6,26.37,200000,
2000-01-24,1613.6,26.26,200000,
2000-01-25,1586.4,25.81,200000,
2000-01-27,1603.9,26.1,200000,
2000-01-28,1599.1,26.02,200000,
2000-01-31,1546.2,25.16,200000,
2000-02-01,1549.5,25.13,200000,200000.0
2000-02-02,1588.0,25.75,200000,
2000-02-03,1597.9,25.91,200000,
2000-02-04,1599.75,25.94,200000,
2000-02-07,1636.6,26.54,200000,
2000-02-08,1662.75,26.96,200000,
2000-02-09,1689.65,27.4,200000,
2000-02-10,1711.2,27.75,200000,
2000-02-11,1756.0,28.47,200000,
2000-02-14,1744.5,28.29,200000,
2000-02-15,1702.55,27.19,200000,
2000-02-16,1711.1,27.32,200000,
2000-02-17,1742.1,27.82,200000,
2000-02-18,1717.8,27.43,200000,
2000-02-21,1753.5,28.0,200000,
2000-02-22,1739.05,27.77,200000,
2000-02-23,1696.4,27.09,200000,
2000-02-24,1732.0,27.66,200000,
2000-02-25,1710.45,27.29,200000,
2000-02-28,1722.55,27.49,200000,
2000-02-29,1654.8,26.36,200000,
2000-03-01,1712.7,27.35,200000,200000.0
2000-03-02,1696.55,27.09,200000,
2000-03-03,1656.0,26.47,200000,
2000-03-06,1688.5,26.99,200000,
2000-03-07,1702.75,27.22,200000,
2000-03-08,1666.35,26.64,200000,
2000-03-09,1646.25,26.32,200000,
2000-03-10,1602.75,25.62,200000,
2000-03-13,1560.7,24.95,200000,
2000-03-14,1567.05,25.05,200000,
2000-03-15,1620.1,25.9,200000,
2000-03-16,1562.2,24.97,200000,
2000-03-21,1556.6,24.89,200000,
2000-03-22,1589.6,25.41,200000,
2000-03-23,1553.4,24.83,200000,
2000-03-24,1569.55,25.09,200000,
2000-03-27,1562.95,24.99,200000,
2000-03-28,1568.6,25.08,200000,
2000-03-29,1558.25,25.08,200000,
2000-03-30,1549.5,24.94,200000,
2000-03-31,1528.45,24.6,200000,
2000-04-03,1534.75,24.7,200000,200000.0
2000-04-04,1428.1,22.99,200000,
2000-04-05,1434.65,23.09,200000,
2000-04-06,1452.95,23.39,200000,
2000-04-07,1557.15,25.06,200000,
2000-04-10,1613.0,25.96,200000,
2000-04-11,1624.65,25.72,200000,
2000-04-12,1592.7,25.21,200000,
2000-04-13,1518.65,23.98,200000,
2000-04-17,1443.55,21.74,200000,
2000-04-18,1414.8,21.31,200000,
2000-04-19,1404.95,21.07,200000,
2000-04-20,1415.65,21.23,200000,
2000-04-24,1388.0,20.82,200000,
2000-04-25,1359.45,20.39,200000,
2000-04-26,1436.1,21.54,200000,
2000-04-27,1416.9,21.25,200000,
2000-04-28,1406.55,21.1,200000,
2000-05-02,1333.45,20.0,100000,
2000-05-03,1316.05,19.74,100000,
2000-05-04,1380.55,20.71,200000,
2000-05-05,1422.4,21.33,200000,
2000-05-08,1365.05,20.47,200000,
2000-05-09,1378.55,20.68,200000,
2000-05-10,1363.15,20.57,200000,
2000-05-11,1304.55,19.68,100000,
2000-05-12,1282.8,19.36,100000,
2000-05-15,1299.25,19.54,100000,
2000-05-16,1306.85,19.66,100000,
2000-05-17,1311.65,19.88,100000,
2000-05-18,1293.4,19.44,100000,
2000-05-19,1268.0,19.05,100000,
2000-05-22,1233.0,18.53,100000,
2000-05-23,1224.4,18.4,100000,
2000-05-24,1235.9,20.69,200000,
2000-05-25,1247.65,20.89,200000,
2000-05-26,1275.35,21.35,200000,
2000-05-29,1311.05,21.95,200000,
2000-05-30,1344.85,22.34,200000,
2000-05-31,1380.45,22.96,200000,
2000-06-01,1349.0,22.46,200000,200000.0
2000-06-02,1389.25,23.13,200000,
2000-06-05,1404.6,23.38,200000,
2000-06-06,1421.75,23.67,200000,
2000-06-07,1430.35,23.7,200000,
2000-06-08,1463.65,24.25,200000,
2000-06-09,1467.2,24.31,200000,
2000-06-12,1440.4,23.87,200000,
2000-06-13,1432.9,23.74,200000,
2000-06-14,1435.5,23.79,200000,
2000-06-15,1445.25,23.95,200000,
2000-06-16,1477.3,24.48,200000,
2000-06-19,1498.75,24.84,200000,
2000-06-20,1507.1,24.98,200000,
2000-06-21,1475.15,24.45,200000,
2000-06-22,1488.25,24.67,200000,
2000-06-23,1472.2,22.95,200000,
2000-06-26,1451.65,22.63,200000,
2000-06-27,1454.3,22.67,200000,
2000-06-28,1470.0,22.91,200000,
2000-06-29,1492.35,23.26,200000,
2000-06-30,1471.45,22.94,200000,
2000-07-03,1495.25,23.31,200000,200000.0
2000-07-04,1511.3,23.56,200000,
2000-07-05,1526.05,23.5,200000,
2000-07-06,1516.8,23.35,200000,
2000-07-07,1517.6,23.37,200000,
2000-07-10,1509.65,23.24,200000,
2000-07-11,1518.55,23.38,200000,
2000-07-12,1533.35,23.61,200000,
2000-07-13,1522.6,23.44,200000,
2000-07-14,1509.75,23.25,200000,
2000-07-17,1479.65,22.78,200000,
2000-07-18,1463.1,22.53,200000,
2000-07-19,1435.8,22.11,200000,
2000-07-20,1424.2,21.93,200000,
2000-07-21,1397.25,21.51,200000,
2000-07-24,1317.75,20.47,200000,
2000-07-25,1348.9,20.96,200000,
2000-07-26,1318.25,20.48,200000,
2000-07-27,1338.05,20.79,200000,
2000-07-28,1333.8,20.72,200000,
2000-07-31,1332.85,20.71,200000,
2000-08-01,1326.85,20.58,200000,200000.0
2000-08-02,1331.9,20.66,200000,
2000-08-03,1321.25,20.49,200000,
2000-08-04,1318.55,20.45,200000,
2000-08-07,1310.8,20.33,200000,
2000-08-08,1345.6,20.87,200000,
2000-08-09,1344.95,20.86,200000,
2000-08-10,1328.0,20.09,200000,
2000-08-11,1310.75,19.74,100000,
2000-08-14,1317.9,19.85,100000,
2000-08-16,1351.45,20.35,200000,
2000-08-17,1341.4,20.2,200000,
2000-08-18,1358.05,20.45,200000,
2000-08-21,1370.25,20.62,200000,
2000-08-22,1381.2,20.78,200000,
2000-08-23,1386.05,20.87,200000,
2000-08-24,1386.95,20.89,200000,
2000-08-25,1381.25,20.8,200000,
2000-08-28,1369.85,20.63,200000,
2000-08-29,1367.7,20.58,200000,
2000-08-30,1375.95,20.7,200000,
2000-08-31,1394.1,20.97,200000,
2000-09-04,1427.75,21.69,200000,
2000-09-05,1428.25,21.7,200000,
2000-09-06,1435.35,21.81,200000,
2000-09-07,1439.75,21.88,200000,
2000-09-08,1450.05,22.03,200000,
2000-09-11,1456.35,22.13,200000,
2000-09-12,1467.65,22.3,200000,
2000-09-13,1456.15,22.13,200000,
2000-09-14,1445.3,21.96,200000,
2000-09-15,1417.2,21.53,200000,
2000-09-18,1354.35,20.58,200000,
2000-09-19,1317.0,20.01,200000,
2000-09-20,1342.9,20.4,200000,
2000-09-21,1329.85,20.21,200000,
2000-09-22,1266.45,19.24,100000,
2000-09-25,1292.55,19.64,100000,
2000-09-26,1267.9,19.26,100000,
2000-09-27,1292.55,19.64,100000,
2000-09-28,1266.4,19.24,100000,
2000-09-29,1271.65,19.32,100000,
2000-10-03,1282.0,19.48,100000,
2000-10-04,1297.8,19.72,100000,
2000-10-05,1284.75,19.52,100000,
2000-10-06,1285.0,19.52,100000,
2000-10-09,1267.3,19.26,100000,
2000-10-10,1238.95,18.83,100000,
2000-10-11,1201.9,18.26,100000,
2000-10-12,1206.25,18.33,100000,
2000-10-13,1176.75,18.01,100000,
2000-10-16,1175.45,17.78,100000,
2000-10-17,1158.05,17.51,100000,
2000-10-18,1136.0,17.18,100000,
2000-10-19,1166.15,17.64,100000,
2000-10-20,1172.0,17.72,100000,
2000-10-23,1143.95,17.3,100000,
2000-10-24,1152.45,17.43,100000,
2000-10-25,1183.9,17.9,100000,
2000-10-26,1186.3,17.94,100000,
2000-10-27,1178.7,17.83,100000,
2000-10-30,1167.15,17.65,100000,
2000-10-31,1172.75,17.74,100000,
2000-11-01,1200.8,18.16,100000,200000.0
2000-11-02,1224.85,18.52,100000,
2000-11-03,1242.05,18.78,100000,
2000-11-06,1240.25,18.76,100000,
2000-11-07,1246.75,18.85,100000,
2000-11-08,1266.8,19.17,100000,
2000-11-09,1269.95,19.21,100000,
2000-11-10,1239.55,18.75,100000,
2000-11-13,1208.05,18.28,100000,
2000-11-14,1242.85,18.8,100000,
2000-11-15,1247.05,18.87,100000,
2000-11-16,1233.25,18.66,100000,
2000-11-17,1236.0,18.7,100000,
2000-11-20,1237.6,18.72,100000,
2000-11-21,1235.0,18.68,100000,
2000-11-22,1222.35,18.49,100000,
2000-11-23,1216.0,18.4,100000,
2000-11-24,1225.2,18.54,100000,
2000-11-27,1252.9,18.96,100000,
2000-11-28,1272.75,19.26,100000,
2000-11-29,1264.75,19.17,100000,
2000-11-30,1268.15,19.22,100000,
2000-12-01,1276.2,19.34,100000,200000.0
2000-12-04,1275.6,19.34,100000,
2000-12-05,1284.65,19.47,100000,
2000-12-06,1298.55,19.68,100000,
2000-12-07,1302.5,19.74,100000,
2000-12-08,1313.7,19.91,100000,
2000-12-11,1332.15,20.19,200000,
2000-12-12,1333.35,20.21,200000,
2000-12-13,1354.3,20.54,200000,
2000-12-14,1349.35,20.47,200000,
2000-12-15,1312.6,19.91,100000,
2000-12-18,1317.6,19.98,100000,
2000-12-19,1310.5,19.88,100000,
2000-12-20,1295.25,19.68,100000,
2000-12-21,1277.4,19.41,100000,
2000-12-22,1242.0,18.87,100000,
2000-12-26,1212.0,18.42,100000,
2000-12-27,1228.3,18.67,100000,
2000-12-28,1248.95,18.98,100000,
2000-12-29,1263.55,19.2,100000,
2001-01-01,1254.3,19.06,100000,200000.0
